creado_segundos,lead_scoring,f_medium_social,f_medium_referido,f_medium_unknown,f_medium_directo,f_tiene_telefono_2,f_gdpr_accept_int,f_len_empresa,medium,utm_source,utm_medium,utm_campaign,utm_content,utm_term,status,etapa_de_oportunidad_activa,propietario,origen,target_asiste
2086.8,0,0,0,1,0,0,0,3,unknown,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1357.6,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
288.2,0,0,0,1,0,0,0,3,unknown,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2174.0,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
414.2,0,0,1,0,0,1,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1057.8,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
1904.4,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1697.8,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
3228.3,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
3137.1,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1207.9,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,1
3103.8,0,0,0,1,0,0,0,7,unknown,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
897.5,0,0,0,0,1,0,0,3,directo,,,,,,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
524.3,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
838.1,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
3558.3,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
56.5,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
809.5,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
897.5,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2237.2,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
614.2,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
1778.9,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1713.3,0,0,0,1,0,0,0,3,unknown,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1363.3,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
798.4,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
2841.4,0,0,0,0,1,0,0,3,directo,,,,,,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
53.6,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
1084.4,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
965.1,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
965.2,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
272.1,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2977.0,0,1,0,0,0,0,0,5,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
2270.5,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2405.2,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
3000.0,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
3595.8,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
241.8,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
824.5,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1724.8,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,1
754.5,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2094.4,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
2998.6,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1049.7,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
1577.2,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
44.0,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2913.3,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1621.3,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
3596.2,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2187.4,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
566.0,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
1249.9,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
1980.8,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
1077.7,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
926.3,0,0,0,1,0,0,0,3,unknown,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1108.6,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1127.5,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1760.5,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
963.2,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
283.1,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
171.0,0,1,0,0,0,0,0,3,social,,,,,,en oportunidad,Registro,Uriel Gerónimo Velázquez,,1
211.0,0,0,0,1,0,0,0,3,unknown,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
875.9,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1422.0,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
654.2,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
3286.5,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
420.1,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1105.2,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1239.8,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1796.2,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
87.2,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2162.8,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2132.3,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
135.4,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
390.2,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
2573.0,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
307.3,0,0,0,1,0,0,0,3,unknown,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2578.5,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
305.9,0,0,0,1,0,0,0,3,unknown,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1346.4,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
2217.8,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1588.4,0,0,0,1,0,0,0,3,unknown,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
2585.0,0,0,0,0,1,0,0,3,directo,FB,CarreraAscenso,MasterData14-AGO25-V1,CarreraAscenso,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1203.8,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
476.7,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
288.5,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2710.3,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
359.1,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1915.7,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
660.6,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,1
60.5,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
536.6,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
209.9,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2889.9,0,0,0,0,1,0,0,3,directo,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1220.7,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2907.1,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
3067.6,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
3413.2,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
245.3,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,1
2653.1,0,0,0,0,1,0,0,3,directo,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2214.0,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
479.1,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
1570.0,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
234.0,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2595.2,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2633.6,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
97.5,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
431.8,0,0,0,0,1,0,0,3,directo,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
3595.8,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1809.6,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
3316.3,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2604.0,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
